permission_risk,usage_risk,orphan_risk,temporal_risk,admin_access,full_access_policies,policy_count,unused_permissions_pct,api_calls_7d,services_used,inactive_days,unusual_hour_access,new_source_ip,failed_auth_attempts,sensitive_actions,cross_service_access,identity_type,risk_score
84,4,41,35,0,0,0,18,28,15,163,0,0,3,1,10,IAM User,84.82
17,3,14,49,0,1,4,5,29,15,103,0,0,1,2,7,IAM User,50.42
75,10,39,50,0,0,5,85,27,8,57,1,1,1,2,6,AWS Service Identity,70.52
36,56,26,71,0,1,0,0,27,2,66,0,0,1,2,2,IAM Role,56.0
79,71,85,62,0,0,3,58,14,11,155,0,1,0,0,3,IAM Role,96.23
48,21,86,7,0,0,7,84,17,3,120,0,0,0,4,3,AWS Service Identity,57.74
81,15,0,81,0,1,3,35,23,13,140,0,0,1,2,3,IAM User,83.74
14,86,60,76,0,0,4,20,18,9,110,0,0,2,0,6,IAM Role,64.1
39,75,64,10,0,1,1,72,25,5,179,0,0,3,1,9,IAM User,68.14
27,65,38,97,0,1,0,63,34,15,118,0,1,2,1,0,IAM User,86.57
25,49,47,66,1,0,2,1,28,8,72,1,0,1,1,6,IAM Role,70.57
31,42,79,8,0,1,6,58,30,6,45,1,0,1,1,8,IAM User,69.78
38,2,38,49,0,0,8,0,29,3,8,1,0,3,1,4,IAM Role,48.34
12,18,6,84,0,1,5,40,25,10,138,0,0,1,4,3,AWS Service Identity,59.71
71,90,37,28,0,2,7,30,26,4,168,0,1,3,1,4,IAM Role,86.54
55,34,25,94,0,2,5,84,20,2,120,0,0,1,0,9,IAM Role,76.04
83,71,38,42,0,0,5,98,23,1,88,0,0,2,0,10,IAM Role,74.16
71,71,23,22,0,1,3,70,24,10,23,0,0,2,1,7,IAM User,70.95
15,31,15,36,0,0,0,74,26,14,116,0,0,1,0,5,IAM User,47.75
7,20,99,53,0,0,3,2,26,4,36,1,0,2,4,7,IAM User,57.97
42,69,13,69,0,1,7,6,28,3,112,0,0,1,1,7,IAM User,64.96
48,9,71,93,0,1,4,78,28,9,54,0,0,0,1,8,IAM User,66.87
24,49,72,19,0,0,6,43,28,2,156,0,0,1,1,1,AWS Service Identity,42.11
79,89,62,96,0,1,0,51,28,1,169,0,0,0,1,0,IAM User,85.98
58,71,92,53,0,0,1,69,16,10,42,0,0,2,0,3,IAM User,74.91
75,77,0,12,0,0,2,35,23,8,59,0,0,1,0,2,IAM User,54.19
11,8,30,93,0,1,3,68,29,0,166,0,0,2,0,6,IAM User,50.76
82,20,18,35,0,0,8,73,21,3,3,0,1,0,2,5,IAM Role,63.98
20,27,58,62,0,0,4,24,21,3,93,1,0,2,0,10,IAM Role,54.91
45,29,64,70,0,0,5,69,20,10,25,0,0,2,3,8,AWS Service Identity,65.75
44,19,90,1,0,0,5,17,23,10,78,0,0,2,1,1,IAM Role,47.97
82,98,38,22,0,1,3,31,22,11,5,0,1,2,3,9,IAM User,93.96
27,16,23,69,0,0,8,78,30,1,25,0,1,0,1,8,AWS Service Identity,49.88
24,71,93,32,1,1,2,99,23,13,72,0,0,1,1,4,IAM User,82.01
34,59,67,0,0,0,0,6,34,3,10,0,0,1,1,0,IAM User,38.77
36,61,77,2,0,0,6,65,22,15,144,0,0,3,2,8,IAM User,81.82
18,21,44,83,0,0,5,57,22,13,104,0,0,0,1,2,IAM Role,52.87
17,31,45,15,1,1,2,61,24,7,81,0,1,1,1,2,IAM User,63.84
23,61,39,10,0,0,7,79,33,12,85,0,1,3,0,5,IAM User,63.6
47,30,75,56,0,0,1,7,39,10,151,0,1,2,0,0,IAM Role,71.18
34,70,21,12,0,0,2,74,21,12,153,0,0,2,1,4,IAM User,68.49
39,3,98,65,0,0,1,28,24,0,8,0,0,0,0,2,IAM Role,41.12
72,7,17,54,0,0,1,15,22,1,124,1,1,0,1,0,IAM User,51.29
24,73,46,65,0,1,6,45,20,14,85,0,0,2,4,9,IAM User,84.01
91,62,31,49,0,2,6,2,31,12,141,0,0,0,1,2,IAM User,77.53
75,4,64,78,1,3,5,63,23,9,142,1,0,4,1,5,IAM Role,100.0
17,90,68,65,0,0,7,57,24,4,128,1,0,0,1,8,IAM User,75.63
31,0,92,41,0,0,0,51,31,6,122,0,0,1,2,5,IAM User,60.73
18,96,79,1,0,0,5,3,37,6,38,0,0,2,0,3,IAM User,46.28
27,73,25,27,0,0,1,77,20,6,154,1,0,1,1,8,Unknown,82.83
36,99,20,13,0,0,8,3,32,10,126,0,0,2,0,7,AWS Service Identity,56.59
13,95,89,1,1,0,5,26,18,12,49,0,0,0,2,0,IAM Role,70.73
1,31,49,27,1,0,6,39,23,6,42,0,0,4,4,9,IAM User,63.64
44,76,9,20,0,2,5,70,27,13,90,1,0,2,2,1,Unknown,85.44
70,21,83,7,0,0,3,41,24,1,62,0,0,2,0,8,AWS Service Identity,55.31
30,47,65,31,0,2,6,82,26,12,122,0,0,1,0,1,IAM Role,70.78
86,24,2,51,0,1,7,94,26,10,73,0,0,0,4,0,IAM User,76.82
37,49,79,17,0,0,1,77,27,8,30,0,0,1,2,1,IAM User,62.96
90,88,61,27,0,2,7,3,18,6,71,0,0,0,1,8,IAM User,76.27
23,44,62,2,1,0,6,77,18,5,147,0,0,2,0,4,AWS Service Identity,62.01
54,9,87,5,0,0,0,20,25,5,150,0,0,1,0,6,IAM User,61.74
77,32,50,15,0,0,8,89,31,15,56,1,0,1,1,3,IAM User,75.28
5,79,46,45,0,2,1,98,24,0,144,0,0,0,0,1,IAM User,67.92
93,52,62,67,0,0,5,8,25,10,16,0,0,6,3,8,IAM Role,94.33
36,56,19,79,0,0,1,9,26,15,178,0,0,2,5,9,IAM User,90.72
50,43,15,63,0,0,1,70,20,8,138,0,0,1,2,9,AWS Service Identity,66.82
63,29,85,62,0,1,5,14,32,10,7,1,0,2,0,0,AWS Service Identity,60.34
64,60,21,94,0,1,6,97,31,9,127,0,0,1,1,10,IAM Role,92.13
2,63,50,25,0,2,6,54,34,8,89,0,0,2,1,5,IAM User,68.84
87,90,27,80,0,1,3,57,34,10,159,0,0,3,1,2,IAM Role,85.33
62,62,23,94,0,1,7,86,28,14,43,0,0,2,3,2,IAM Role,87.34
100,100,60,57,1,0,0,21,42,11,161,0,0,1,2,5,IAM Role,100.0
47,83,81,84,0,0,7,56,36,13,157,0,1,2,0,6,IAM User,89.59
61,7,44,13,0,0,2,100,31,8,50,0,0,2,2,0,IAM User,58.37
44,39,14,88,0,0,5,2,26,12,78,1,0,1,0,5,IAM User,69.33
89,38,24,56,0,1,8,17,30,14,116,0,0,1,6,2,IAM User,86.08
84,0,16,22,0,0,2,14,25,3,43,0,0,2,1,10,IAM User,50.43
91,18,89,6,0,2,3,33,29,13,180,0,1,2,2,6,IAM User,100.0
50,76,32,72,0,1,7,13,28,10,34,1,1,0,2,4,IAM User,76.71
79,35,37,43,0,0,7,17,27,7,44,0,0,3,1,4,IAM Role,66.7
36,14,7,31,0,1,2,86,28,12,90,0,0,2,5,9,IAM User,66.55
46,29,45,39,0,0,4,46,26,2,85,0,1,3,1,7,AWS Service Identity,61.73
76,27,92,100,0,0,2,36,28,11,9,0,0,2,2,4,IAM Role,80.92
8,17,41,43,0,1,4,42,20,9,164,0,0,2,1,9,IAM User,68.12
71,10,65,7,0,1,3,98,24,14,43,0,0,2,1,6,IAM Role,77.46
1,77,18,28,0,1,0,49,21,9,18,0,1,2,1,0,IAM User,47.85
58,83,14,14,0,0,8,47,29,8,93,0,0,1,1,6,Unknown,73.49
48,50,73,69,0,1,5,93,21,8,168,0,0,1,1,10,IAM User,85.95
47,62,6,80,0,0,4,3,27,8,0,0,1,1,5,9,AWS Service Identity,61.66
49,92,45,84,0,0,0,48,30,14,88,0,0,0,1,0,IAM User,73.37
49,85,31,63,0,0,0,75,22,12,164,0,1,1,3,9,IAM User,96.84
41,3,1,77,0,0,4,51,26,1,161,1,0,0,2,10,IAM User,71.91
45,96,53,42,0,1,5,87,20,8,30,0,0,2,2,1,AWS Service Identity,75.9
57,6,97,63,0,1,2,89,34,4,112,0,0,2,2,7,IAM Role,79.37
77,2,6,10,0,0,6,33,26,2,151,0,0,2,1,8,IAM User,58.53
55,40,82,54,1,0,3,82,24,13,121,0,0,1,2,0,IAM User,89.02
64,75,54,56,1,0,0,24,23,13,118,0,0,4,0,9,IAM User,96.49
84,8,73,3,0,0,4,24,19,15,139,1,0,0,1,4,IAM Role,72.72
99,29,9,55,0,1,1,98,26,6,82,0,0,2,1,3,IAM User,76.24
10,26,87,73,0,1,0,1,20,6,12,0,0,2,2,2,IAM User,54.6
72,40,1,37,0,0,1,35,28,12,115,0,0,4,2,5,AWS Service Identity,66.59
22,99,91,55,0,0,2,63,21,3,113,0,0,2,3,8,AWS Service Identity,75.2
19,33,66,28,0,0,4,41,25,0,154,0,0,2,2,9,IAM User,60.92
80,21,34,27,0,2,8,85,17,6,167,0,0,3,2,2,IAM Role,77.82
6,12,0,13,0,1,1,25,28,10,61,0,0,3,1,9,IAM User,41.21
85,20,61,33,0,0,0,55,20,7,173,1,0,2,1,9,IAM Role,88.44
77,13,8,81,0,1,1,12,21,3,1,0,0,2,3,0,IAM User,58.9
100,57,61,94,0,0,2,21,25,8,175,0,0,2,2,3,IAM Role,100.0
67,42,78,64,0,3,1,17,30,15,24,1,0,1,2,0,IAM Role,87.81
88,50,26,63,0,1,2,74,27,4,116,0,0,2,2,10,AWS Service Identity,81.66
11,84,24,61,0,0,8,20,27,6,123,0,0,0,1,5,IAM User,54.91
89,58,22,48,1,0,3,67,25,5,114,0,0,0,3,2,AWS Service Identity,76.12
16,15,22,42,0,3,5,34,24,4,179,1,0,0,2,9,IAM User,74.26
31,38,11,62,0,0,6,57,27,10,99,0,0,0,0,7,IAM User,56.98
12,31,25,79,0,0,1,88,17,5,23,0,0,1,0,10,IAM Role,45.43
40,83,66,41,0,1,2,87,21,9,109,0,0,1,2,8,IAM User,81.76
75,31,30,57,0,0,3,1,32,0,52,0,0,0,5,10,AWS Service Identity,62.04
27,13,78,47,0,1,4,79,20,10,110,0,0,0,4,2,AWS Service Identity,68.33
83,74,82,28,0,1,0,96,29,1,68,0,0,0,1,2,IAM User,70.49
61,43,76,29,0,1,5,67,19,6,7,1,0,1,1,0,Unknown,74.49
63,9,54,7,0,0,2,18,27,13,115,0,0,2,0,3,IAM User,60.25
94,69,31,44,0,0,2,67,28,5,16,0,0,0,1,6,IAM Role,66.05
43,21,93,71,0,0,5,64,31,11,59,0,0,2,3,6,IAM User,76.03
34,87,20,69,0,1,8,66,20,5,112,0,0,5,1,7,AWS Service Identity,71.49
100,84,46,99,0,0,7,43,21,14,159,0,0,2,1,8,IAM User,100.0
56,37,45,4,0,1,8,53,26,15,56,0,0,1,1,8,IAM User,73.67
62,56,75,76,0,1,3,65,31,14,54,0,0,3,1,5,IAM User,93.8
29,57,55,80,0,0,1,46,15,6,54,1,0,1,1,3,Unknown,68.45
21,65,80,44,0,1,1,78,24,5,104,0,1,2,1,4,AWS Service Identity,70.37
17,6,92,28,0,0,3,71,27,9,35,0,0,1,1,9,IAM Role,46.64
22,32,39,36,1,0,2,30,27,13,95,1,0,0,3,8,AWS Service Identity,69.47
19,17,88,68,0,1,1,61,27,8,144,0,0,1,1,10,AWS Service Identity,74.47
75,70,17,87,0,1,1,76,24,11,14,1,0,2,2,5,IAM Role,92.09
5,6,92,64,0,0,1,49,24,14,174,0,0,6,0,8,IAM User,70.4
63,52,17,51,1,5,5,72,32,12,96,0,0,0,1,4,AWS Service Identity,86.72
95,73,85,65,0,2,4,12,28,5,113,0,0,1,1,0,IAM Role,87.4
77,95,39,7,0,0,0,39,29,3,111,0,0,2,0,8,IAM User,65.49
40,29,97,61,0,1,5,70,14,6,171,1,1,1,2,0,IAM User,87.88
5,0,13,4,0,1,7,90,27,9,120,0,0,0,1,6,IAM Role,46.37
84,73,47,96,0,0,3,65,29,13,159,1,0,3,2,10,IAM User,100.0
0,0,91,89,0,1,2,67,17,4,51,0,1,3,3,0,AWS Service Identity,60.35
68,6,4,51,0,2,2,34,29,2,39,0,0,1,0,8,IAM User,52.4
67,100,26,37,0,1,3,70,29,5,116,0,0,1,4,9,IAM User,94.24
19,87,8,73,0,2,2,35,24,9,27,1,0,2,4,6,AWS Service Identity,73.9
74,71,32,64,0,1,8,5,19,3,20,0,0,1,2,7,IAM User,67.65
17,84,39,71,0,1,8,24,27,6,38,0,0,4,1,9,IAM User,65.24
22,7,62,52,0,0,3,61,29,4,49,1,0,1,0,8,IAM Role,55.87
82,8,26,23,0,1,8,97,25,15,17,0,0,1,2,0,AWS Service Identity,66.1
98,30,16,7,0,0,7,50,24,8,131,0,0,1,4,8,IAM User,73.7
26,2,17,28,0,1,0,86,27,11,105,1,0,4,3,8,IAM User,70.95
93,89,94,53,1,1,4,78,25,8,36,1,0,2,1,2,AWS Service Identity,95.16
92,5,96,42,0,1,5,56,15,0,51,0,0,0,1,7,Unknown,84.83
77,54,22,51,0,0,3,81,28,4,168,0,0,2,1,9,IAM Role,71.91
14,86,19,28,0,0,4,40,23,13,165,0,0,1,2,9,IAM User,75.81
30,74,5,94,0,0,4,44,29,8,22,0,1,2,3,9,IAM User,72.78
68,23,96,37,0,1,6,74,25,11,111,0,0,2,0,8,IAM User,84.71
100,47,71,85,0,0,2,64,29,12,58,0,0,1,0,1,IAM User,82.11
82,55,76,39,0,1,5,53,31,8,65,0,0,3,3,5,IAM Role,86.54
42,77,29,44,0,0,2,43,23,9,108,0,0,0,3,2,IAM User,63.28
23,43,64,60,0,0,8,98,25,3,178,1,0,2,2,0,IAM Role,75.51
96,28,6,26,0,0,0,6,34,3,105,0,0,3,2,2,IAM Role,63.54
27,80,68,22,0,4,0,5,16,2,172,0,0,0,1,10,IAM Role,75.72
34,89,58,38,0,0,0,48,31,4,148,1,0,3,1,6,IAM User,81.54
97,49,33,81,1,2,3,3,25,10,140,1,0,0,4,8,AWS Service Identity,100.0
56,2,71,14,0,0,5,34,20,14,143,0,1,0,1,5,IAM Role,68.42
26,50,65,44,0,2,8,57,24,7,143,1,1,0,1,3,IAM Role,85.01
0,89,44,67,0,1,4,40,31,9,46,0,0,4,4,5,IAM User,70.62
43,99,18,71,0,0,1,20,35,13,176,0,0,2,1,10,IAM User,90.14
99,40,2,43,0,1,3,28,25,10,166,0,0,3,1,3,AWS Service Identity,77.35
43,15,94,8,0,1,1,61,23,4,108,0,0,3,1,3,IAM User,63.66
70,57,28,1,0,0,4,96,28,4,128,0,0,0,2,9,IAM User,72.11
25,83,30,47,0,0,6,78,24,10,159,0,0,1,1,4,IAM User,71.66
78,95,68,81,0,1,0,55,17,4,27,1,0,0,2,9,IAM Role,86.91
78,5,25,2,0,0,6,13,24,3,11,0,0,1,2,10,Unknown,54.65
61,29,37,89,0,1,2,24,24,9,180,0,1,2,1,0,IAM User,77.8
77,48,71,68,0,0,6,44,28,10,100,0,0,2,3,7,AWS Service Identity,82.83
58,9,60,0,0,0,7,24,41,4,130,0,0,0,3,1,IAM User,59.39
38,89,66,34,0,1,6,69,26,0,90,1,0,1,1,9,IAM Role,78.43
74,11,0,22,0,1,6,36,30,12,93,0,0,2,1,1,IAM Role,51.84
84,67,45,95,0,2,6,84,24,6,6,0,0,0,2,9,IAM User,89.92
84,92,48,56,0,0,1,27,24,10,52,0,0,2,0,8,IAM User,82.61
21,69,63,32,1,0,1,50,25,2,15,0,0,1,4,5,IAM User,67.13
68,77,15,28,0,1,3,72,30,5,78,0,0,1,2,2,Unknown,73.1
0,26,16,56,0,0,5,20,18,9,3,0,0,1,1,2,IAM Role,28.01
57,83,77,0,1,2,5,76,34,1,145,1,0,2,2,4,AWS Service Identity,88.86
57,42,68,25,0,1,6,59,29,5,53,0,0,4,1,9,AWS Service Identity,71.9
36,6,81,16,0,1,2,65,20,11,134,0,0,1,3,9,IAM User,76.41
100,37,27,62,0,0,7,45,19,12,9,0,0,2,1,5,AWS Service Identity,65.04
89,35,100,67,0,1,4,94,23,5,6,0,0,1,0,2,IAM User,84.99
3,52,27,47,0,0,2,77,29,1,76,0,0,1,2,6,IAM User,49.95
21,26,65,14,0,1,6,19,24,0,142,0,0,1,0,9,AWS Service Identity,50.11
21,46,16,37,0,0,1,56,26,8,147,0,0,0,0,5,AWS Service Identity,46.13
90,43,92,85,0,1,3,91,28,11,98,0,1,1,1,9,IAM User,100.0
52,33,33,20,0,1,7,28,27,9,111,1,1,1,1,0,IAM Role,68.09
73,70,81,16,0,1,6,54,27,6,124,0,0,6,1,5,IAM Role,87.68
81,30,33,11,0,0,2,76,32,0,121,0,0,1,2,0,AWS Service Identity,49.28
77,77,79,82,0,0,1,27,22,3,134,0,0,2,1,6,IAM Role,89.49
8,25,45,12,0,0,0,52,22,0,5,0,1,0,1,6,IAM User,40.77
14,87,6,58,0,1,0,55,30,7,77,0,0,0,1,3,IAM User,61.57
39,36,19,100,0,2,7,17,21,4,151,1,0,0,3,8,IAM User,82.63
34,4,69,64,0,1,7,17,24,1,79,0,0,1,4,10,IAM Role,64.69
75,15,19,41,0,0,4,56,19,9,26,0,0,2,1,5,AWS Service Identity,53.79
15,81,27,20,0,1,5,18,21,5,120,0,0,5,2,4,IAM User,72.45
37,88,54,0,0,2,2,95,29,15,54,0,0,3,3,2,IAM User,78.96
23,21,25,15,1,0,1,52,25,6,92,0,0,2,1,0,IAM User,44.48
19,60,13,96,0,0,0,71,29,1,93,1,0,3,4,4,IAM Role,68.19
17,58,63,14,0,2,6,40,27,11,126,0,0,2,0,4,AWS Service Identity,60.53
19,13,69,2,1,1,0,30,17,11,168,0,0,3,3,8,IAM User,82.21
57,45,74,82,0,1,0,49,30,14,125,1,0,2,1,9,IAM User,93.3
41,70,95,42,1,0,7,71,26,11,180,0,0,1,1,1,IAM Role,83.47
43,97,12,36,0,0,5,40,29,5,3,0,1,1,1,1,IAM User,56.36
48,85,43,72,0,0,4,28,24,10,141,1,1,2,1,6,AWS Service Identity,90.55
74,9,23,52,1,0,1,14,31,12,75,0,0,1,2,4,IAM User,73.41
87,23,91,92,0,0,1,54,25,8,132,0,1,1,2,7,IAM User,100.0
53,44,54,47,0,0,4,68,32,12,15,0,0,3,0,3,AWS Service Identity,61.4
64,15,9,72,0,0,3,53,25,15,95,1,0,1,2,4,IAM User,73.93
74,57,69,88,0,0,4,25,21,12,5,0,0,3,1,4,IAM User,82.36
69,0,4,46,0,2,1,24,18,8,120,0,0,2,4,6,IAM User,67.92
13,11,27,28,0,1,2,38,27,7,39,0,0,2,2,0,IAM User,35.15
99,4,72,98,0,1,1,35,24,13,26,1,1,3,0,9,IAM User,100.0
16,29,51,22,0,0,3,20,28,13,14,0,0,0,0,3,IAM User,42.38
41,76,76,3,0,3,2,95,26,4,48,0,0,1,2,2,IAM User,77.54
65,17,57,58,0,0,2,33,28,0,173,1,0,0,0,7,IAM User,67.24
40,99,85,99,0,1,4,25,24,12,178,0,0,1,4,1,IAM Role,100.0
24,27,56,8,0,2,4,61,20,3,14,0,0,2,0,6,IAM Role,51.53
93,4,5,85,0,0,1,80,22,15,177,0,0,1,1,0,IAM User,79.17
7,33,7,83,0,0,6,46,29,0,106,0,0,0,1,2,IAM User,43.35
24,75,78,93,0,0,3,67,26,14,58,0,1,2,2,7,IAM Role,88.53
100,10,3,42,0,2,3,9,21,10,170,0,0,2,2,4,AWS Service Identity,71.98
73,7,38,25,0,1,4,53,27,4,43,0,0,2,1,9,AWS Service Identity,57.17
8,85,1,51,0,1,1,6,32,0,32,0,1,0,1,3,IAM User,47.19
76,59,30,14,1,2,3,13,24,13,41,0,0,2,3,7,IAM User,84.43
97,34,60,85,1,1,5,59,23,1,26,0,0,2,2,0,IAM User,76.74
9,76,17,66,0,0,1,20,23,1,87,1,0,5,0,10,IAM User,65.06
41,85,47,48,1,3,5,3,30,12,25,0,0,1,1,6,IAM Role,85.13
47,36,100,52,0,2,0,18,30,10,40,0,0,2,2,7,IAM User,85.06
13,56,7,71,0,0,5,78,25,2,67,0,0,1,1,3,IAM User,51.18
20,1,6,52,0,0,0,59,31,5,117,0,0,0,0,3,IAM User,44.44
17,30,27,84,0,1,1,38,19,10,155,0,1,0,1,4,IAM Role,71.55
18,60,83,93,0,0,3,98,21,10,13,0,1,1,4,2,IAM User,79.44
40,19,40,95,0,0,5,38,20,5,114,1,0,3,2,0,AWS Service Identity,55.08
46,100,64,62,0,1,6,88,24,6,18,0,1,0,0,7,IAM User,85.28
24,98,3,74,0,4,4,34,25,1,179,0,0,2,2,7,AWS Service Identity,77.52
29,26,74,31,1,1,1,2,33,0,50,0,0,2,1,7,IAM User,55.86
19,40,6,3,0,1,3,11,28,15,155,0,0,1,1,6,AWS Service Identity,47.59
80,19,71,40,0,2,7,27,30,3,140,0,1,0,2,5,AWS Service Identity,88.4
21,50,14,88,0,1,0,18,22,14,58,0,1,0,4,10,Unknown,86.97
91,12,86,13,0,0,6,15,24,0,58,0,0,3,4,5,AWS Service Identity,59.53
54,39,29,55,0,0,3,38,30,15,57,0,0,4,1,7,AWS Service Identity,65.02
81,56,18,19,0,0,0,98,22,6,85,0,0,1,1,4,IAM Role,65.02
64,61,34,43,0,2,6,20,26,12,80,0,0,3,1,0,AWS Service Identity,72.01
26,60,0,14,0,2,0,23,22,13,118,0,0,0,2,3,IAM User,61.28
60,22,16,74,0,0,3,100,25,5,84,1,0,1,1,7,IAM Role,66.31
27,80,60,81,0,1,1,20,25,11,142,0,0,2,0,6,IAM Role,79.93
11,69,30,76,0,1,5,83,27,5,84,0,0,0,1,7,AWS Service Identity,58.0
25,76,35,71,0,1,0,62,19,12,55,0,0,3,1,8,IAM User,80.96
27,47,81,23,0,0,0,93,30,15,59,1,0,1,1,2,IAM User,70.49
13,90,12,53,0,1,4,56,40,12,132,0,0,3,3,8,IAM Role,75.2
2,39,39,10,0,0,8,59,26,11,25,0,0,2,0,7,IAM User,48.02
95,81,18,37,0,1,0,22,22,5,51,1,0,0,1,3,IAM User,75.4
51,20,48,51,0,0,4,58,31,1,56,0,0,1,0,5,IAM User,51.36
40,24,33,67,0,0,7,67,21,8,116,0,0,3,2,9,IAM User,75.9
93,53,4,9,0,1,2,99,15,2,23,0,0,1,1,1,IAM User,61.13
22,56,7,82,1,0,4,9,26,8,81,0,1,1,2,3,IAM User,72.2
40,75,86,46,0,0,7,15,22,13,122,0,0,0,0,2,IAM User,73.13
85,30,5,89,0,0,6,1,35,1,167,0,0,0,3,3,IAM User,68.63
63,88,79,53,0,1,2,79,26,14,79,0,0,1,3,2,IAM User,85.37
40,33,92,55,0,0,6,8,28,9,177,0,0,0,3,8,IAM Role,77.87
25,53,47,69,0,1,6,92,16,0,109,1,0,1,2,10,IAM User,79.19
3,94,31,82,0,0,4,36,28,11,140,0,0,2,1,10,AWS Service Identity,71.0
8,54,78,15,0,2,3,29,23,0,43,1,1,0,2,3,AWS Service Identity,43.69
16,68,99,51,0,0,8,98,17,9,165,0,0,0,2,10,IAM User,87.34
79,91,12,3,0,0,7,72,24,8,46,0,0,2,1,0,IAM User,58.8
64,98,97,47,0,0,8,55,27,11,24,1,0,1,2,1,IAM Role,85.74
43,50,95,82,0,1,6,89,25,6,14,0,0,0,2,3,AWS Service Identity,76.64
79,42,14,87,0,2,3,76,24,1,118,0,0,2,1,3,IAM Role,76.47
